year,Anchor Handling Tug,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel 1,Diving Support Vessel 2
1999,2941550.5426297896,1384200.1177815937,1385070.5798425018,1384194.8788378923,2035684.083870384,993508.1404239864
2000,1377328.5040898693,1393562.7947688317,1392678.2819613623,1393564.1159777238,0.0,0.0
2001,3303499.2533924617,1388165.8750164234,1388167.1750270284,1388165.195785227,1985504.9549519704,2158458.552263126
2002,2907683.472222222,1389612.111556012,1389611.4070775807,1389611.1385140202,0.0,0.0
2003,3675091.736111111,1388876.496625903,1387985.081174867,1387988.0715366262,2033730.2678710576,2034773.8206761254
2004,2640160.504848194,1392679.6378784422,1393561.254112812,1393561.628128267,0.0,0.0
2005,3417952.871576287,1388872.669606734,1388872.5219268021,1388874.4262966174,2022369.9255879903,2046136.35761563
2006,2648593.7047011205,1387996.6063664963,1387998.3708215137,1388002.3139299874,0.0,0.0
2007,1669788.1944444445,1389755.0047472927,1389756.589574107,1388875.2902545233,1984934.9277120007,2070251.0056049463
2008,1738668.6805555555,1392678.9905580939,1391773.9382281431,1393562.6616085493,0.0,0.0
2009,3670544.652777778,1389825.7154726621,1389773.6740289524,1388873.2311682126,1999037.3401686654,1994492.6446033358
2010,3265931.278752976,1387042.7243000648,1387997.7057962753,1387993.7334718679,0.0,0.0
2011,2750270.1238255245,1389759.8011031398,1388877.3296832677,1389759.1144103454,2021275.2763936645,2048019.755610103
2012,4477171.354471783,1392678.9100479647,1393569.9805638639,1392686.0284030116,0.0,0.0
2013,3637112.847222222,1388866.0425213145,1387990.3409748685,1388869.509821854,1976937.0352723699,2016586.7056938827
2014,3613867.4448682223,1388874.5854952643,1389759.4615154772,1387973.2984082652,0.0,0.0
2015,1695867.8472222222,1387999.0723269572,1388886.5148667293,1388902.9165296322,1970045.038108005,3073367.8752041785
2016,4120352.5265319278,1393580.8569244703,1391812.865436303,1393577.05398663,0.0,0.0
2017,4956057.577815607,1388875.8793851272,1389758.9773472631,1388873.9384644406,1995632.501889354,1997910.533350335
2018,1864351.7361111112,1388875.3262817983,1388876.5883503992,1387971.0301365443,0.0,0.0
