subassembly,task,annual_materials_cost,annual_occurrences
array cable,array cable major repair,0.0,1.2
array cable,array cable replacement,0.0,1.15
drive_train,main shaft major repair,25200.0,1.8
drive_train,main shaft minor repair,14650.0,14.65
drive_train,main shaft replacement,69600.0,0.3
electrical_system,power converter major repair,156100.0,22.3
electrical_system,power converter minor repair,35000.0,35.0
electrical_system,power converter replacement,247500.0,4.5
electrical_system,power electrical system major repair,3500.0,0.7
electrical_system,power electrical system major replacement,15000.0,0.3
electrical_system,power electrical system minor repair,21350.0,21.35
export cable,export cable subsea inspection,250.0,0.5
generator,annual turbine inspection,100500.0,67.0
generator,direct drive generator major repair,18642.0,1.3
generator,direct drive generator major replacement,106425.0,0.45
generator,direct drive generator minor repair,37050.0,37.1
hydraulic_system,major pitch system repair,20425.0,10.75
hydraulic_system,major pitch system replacement,700.0,0.05
hydraulic_system,minor ballast pump repair,550.0,0.55
hydraulic_system,minor pitch system repair,26575.0,53.15
rotor_blades,blades major repair,41385.6,0.8
rotor_blades,blades major replacement,26700.0,0.05
rotor_blades,blades minor repair,174000.0,29.0
supporting_structure,anchor replacement,435200.0,0.9
supporting_structure,buoyancy module replacement,210000.0,2.1
supporting_structure,major anchor repair,63750.0,0.95
supporting_structure,marine growth removal,10725.0,7.15
supporting_structure,mooring line major repair,22000.0,1.15
supporting_structure,mooring line replacement,94500.0,0.7
supporting_structure,structural annual inspection,39690.0,66.15
supporting_structure,structural subsea inspection,15825.0,33.2
transformer,oss annual inspection,500.0,1.0
transformer,oss minor repair,500.0,0.25
yaw_system,yaw system major repair,900.0,0.3
yaw_system,yaw system major replacement,625.0,0.05
yaw_system,yaw system minor repair,4925.0,9.85
