year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1999,37154850.0,25000000.0,10124208.343386147,0.0,2684552.0,74963610.34338614
2000,37256644.10958904,25000000.0,5557133.696797787,0.0,1803780.0,69617557.80638683
2001,37154850.0,25000000.0,11611961.006436236,0.0,2047572.0,75814383.00643623
2002,37154850.0,25000000.0,7076518.129369835,0.0,2387512.0,71618880.12936984
2003,37154850.0,25000000.0,11908445.47399569,0.0,2358372.0,76421667.47399569
2004,37256644.10958904,25000000.0,6819963.024967715,0.0,2108744.0,71185351.13455676
2005,37154850.0,25000000.0,11653078.77261006,0.0,1510600.0,75318528.77261007
2006,37154850.0,25000000.0,6812590.995819118,0.0,1107052.0,70074492.99581912
2007,37154850.0,25000000.0,9893361.012337314,0.0,1615012.0,73663223.01233731
2008,37256644.10958904,25000000.0,5916684.270950342,0.0,1727640.0,69900968.38053939
2009,37154850.0,25000000.0,11832547.258219605,0.0,2818664.0,76806061.2582196
2010,37154850.0,25000000.0,7428965.442321184,0.0,2303952.0,71887767.44232118
2011,37154850.0,25000000.0,10987961.401026046,0.0,2013004.0,75155815.40102604
2012,37256644.10958904,25000000.0,8656106.273486624,0.0,2815300.0,73728050.38307567
2013,37154850.0,25000000.0,11796362.481506512,0.0,1627332.0,75578544.48150651
2014,37154850.0,25000000.0,7780474.790287229,0.0,1352380.0,71287704.79028723
2015,37154850.0,25000000.0,10905069.264257725,0.0,2330940.0,75390859.26425773
2016,37256644.10958904,25000000.0,8299323.302879331,0.0,1692700.0,72248667.41246837
2017,37154850.0,25000000.0,13117109.408252127,0.0,2373572.0,77645531.40825212
2018,37154850.0,25000000.0,6030074.680879853,0.0,2126172.0,70311096.68087985
