Metrics,FAD Deep Case - Floating
# OSS,1.0
# Turbines,67.0
AEP (MWh),4571893.732097119
AEP per kW (MWh/kW),4.549147992136437
Annual OpEx per kW ($/kW),73.06561002874285
CapEx ($),8464584061.233799
CapEx per kW ($/kW),8422.471702720199
Energy Availability (%),95.39175406922496
FCR (%),6.76253861057786
Gross Capacity Factor (%),61.318711467574246
LCOE ($/MWh),141.2656857945801
Net Capacity Factor With All Losses (%),51.895368379379846
Offtake Price ($/MWh),83.3
OpEx ($),1468618761.5777314
OpEx per kW ($/kW),1461.3122005748571
Potential AEP from WOMBAT (kWh),5069611295.9125
Production AEP from WOMBAT (kWh),4835991139.6625
Project Capacity (MW),1005.0
Total Array Cable Length (km),261.347153627
Total Export Cable Length (km),178.533251254
Turbine Rating (MW),15.0
