Component,CapEx ($) - Floating,CapEx ($/kW) - Floating
Array System,213642682.05766,212.57978314195026
Array System Installation,160829100.96909577,160.02895618815498
Commissioning,58231640.52498328,57.94193087063013
Construction Financing,518304014.0431835,515.7253871076452
Construction Insurance,104816952.9449699,104.29547556713423
Decommissioning,134002646.75902987,133.3359669244078
Export System,241164768.9262926,239.9649442052663
Export System Installation,181715895.1576149,180.81183597772625
Installation Contingency,231154565.65932646,230.0045429446035
Mooring System,174169917.0,173.3034
Mooring System Installation,57753997.9052854,57.46666458237353
Offshore Substation,234893061.72851267,233.72443953085838
Offshore Substation Installation,4761560.632038123,4.737871275659824
Onshore Substation,146058730.69832307,145.33207034659011
Procurement Contingency,252632441.68169534,251.3755638623834
Project,355000000.0,353.23383084577114
Substructure,1249828521.0099998,1243.6104686666665
Substructure Installation,264952679.1311152,263.6345065981246
Turbine,1778850000.0,1770.0
