year,Anchor Handling Tug,Cable Laying Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel,Tugboat 1,Tugboat 2
1999,3744177.9623804404,13521921.282152072,1165382.522484514,1165383.0698248544,1165382.2632940083,0.0,2899819.8275800394,2869870.392427592
2000,3281121.1067552776,14350790.419323204,1171795.3268385655,1171795.2683109862,1171794.992571104,0.0,2520573.3551475634,2452198.554329814
2001,4540886.198042908,29105116.63205628,1168610.269516999,1168610.4317344578,1168610.676994761,3360384.6731723957,3825545.95554103,3929328.0262966664
2002,3724107.9670202853,17612233.740117036,1168596.458173647,1168596.8785329033,1168596.6408179072,737576.9635277982,2790711.1401916724,2812082.20782066
2003,3702549.051990562,14829686.936094783,1168598.3348509697,1168597.8314911919,1168598.1131884092,1843043.5501887677,2587352.3480247525,2529563.452946483
2004,2834958.6741848765,16375255.317830408,1171798.6466777604,1171798.485492588,1171798.5242388826,1520013.6608786243,2473752.406408597,2518845.0275776256
2005,3000970.5263139876,14192476.28267352,1168596.5476852073,1168596.609527376,1168596.3639416476,1861917.4519882693,2451164.3784251646,2545659.572366109
2006,3478003.2438234496,14859010.991819255,1168599.1983440048,1168599.407906888,1168599.280814904,2023593.4089291955,2793540.785369365,2696637.955815848
2007,3204979.17333445,13904857.952562008,1168597.0466295339,1168596.6606394246,1168596.9616110479,1738294.7761167216,2563139.2974489285,2470715.834380122
2008,3138033.0138855786,16413395.99892199,1171799.0514953334,1171798.6677041182,1171799.0727350991,1675216.491115927,2442140.1050854097,2332794.3865865557
2009,2757679.7607456124,13574244.009803891,1168594.1784156056,1168593.9560742797,1168594.1297067993,1712973.653465152,2411888.6885742126,2400199.936360413
2010,3809271.6220102035,20886291.518535856,1168600.558319566,1168600.6605110825,1168600.5276101187,2001720.3891633493,2890340.4976441376,2833794.715302661
2011,3044192.408146372,15488320.045554867,1168597.8444535949,1168597.7641591006,1168598.1797822362,1727927.367272284,2430188.178604164,2434465.8045038744
2012,2891553.0618982757,12795386.341428963,1171800.8486603491,1171800.6397160657,1171800.6520570687,1810319.1521728542,2628193.893445583,2645116.0949892257
2013,2660423.0866137953,13346497.919591809,1168592.1006867655,1168592.1941126005,1168591.963559557,1768070.6966711918,2210945.0186824305,2143648.270775739
2014,3033271.4286356936,13773222.516389089,1168593.5291619129,1168593.886564282,1168593.391494281,1925896.644075121,2387491.0404097117,2432942.171770365
2015,3993003.0893226955,20838119.309182312,1168606.8658593355,1168607.038323272,1168606.699913124,2814597.7216570363,3470967.949513814,3473417.860288761
2016,3427692.2647144306,20002021.320133936,1171801.897622562,1171801.654617261,1171801.891070479,1965513.670279852,3219800.083334947,3095973.684449843
2017,2777842.8262424273,15066444.91572708,1168596.1852577883,1168596.1673358516,1168595.8196971668,1574271.953548225,2439393.3806767864,2534963.3514646613
2018,3140370.9036563085,10380230.028992355,1168590.4483827874,1168590.8440948387,1168590.8945915685,1875789.832448027,2416973.321021267,2416877.6534383097
