subassembly,task,annual_materials_cost,annual_occurrences
anchor,anchor replacement,492949.1537,0.754
anchor,major anchor repair,92649.832,1.008
array cable,array cable major repair,65163.0304,1.725
array cable,array cable replacement,320583.5192,1.1159999999999999
ballast pump,minor ballast pump repair,899.7615,0.659
drive_train,main shaft major repair,32269.337100000004,1.686
drive_train,main shaft minor repair,20198.7555,14.788
drive_train,main shaft replacement,169034.9136,0.5329999999999999
electrical system,power electrical system major repair,7039.4356,1.028
electrical system,power electrical system major replacement,9973.867608695653,0.14565217391304347
electrical system,power electrical system minor repair,30863.052000000003,22.625
export cable,export cable major repair,2054.32,0.061111111111111116
export cable,export cable subsea inspection,291.03999999999996,0.49200000000000005
generator,annual turbine inspection,117025.2538,57.28
generator,direct drive generator major repair,37255.7521,1.9
generator,direct drive generator major replacement,196929.86239999998,0.61
generator,direct drive generator minor repair,46761.5775,34.249
hydraulic pitch system,major pitch system repair,29247.604,11.280999999999999
hydraulic pitch system,major pitch system replacement,1616.069,0.0842857142857143
hydraulic pitch system,minor pitch system repair,35591.7952,52.141000000000005
mooring lines,buoyancy module replacement,280346.27090000006,2.06
mooring lines,marine growth removal,15464.770400000001,7.558
mooring lines,mooring line major repair,25857.0096,1.008
mooring lines,mooring line replacement,137372.3784,0.777
power converter,power converter major repair,207285.78959999996,21.634
power converter,power converter minor repair,46479.4605,34.068000000000005
power converter,power converter replacement,362916.3318,4.829
rotor_blades,blades major repair,34421.0196,0.584
rotor_blades,blades major replacement,49224.67038461538,0.08076923076923077
rotor_blades,blades minor repair,198829.8172,29.125999999999998
supporting_structure,structural annual inspection,47813.0796,58.549
supporting_structure,structural subsea inspection,15582.624,25.480999999999998
transformer,oss annual inspection,650.56,0.95
transformer,oss major repair,7703.701875000001,0.05625
transformer,oss minor repair,533.845,0.19489795918367347
yaw_system,yaw system major repair,1557.1594,0.381
yaw_system,yaw system major replacement,1283.9475,0.07500000000000001
yaw_system,yaw system minor repair,7041.7984,10.312999999999999
