year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1999,51521325.0,10741400.0,26531937.320143517,0.0,2885837.704,91680500.02414352
2000,51662479.31506849,10741400.0,26120069.023276515,0.0,3021570.1939999997,91545518.53234501
2001,51521325.0,10741400.0,48267092.863355495,0.0,2552602.782,113082420.6453555
2002,51521325.0,10741400.0,31182501.99620191,0.0,3414194.422,96859421.41820191
2003,51521325.0,10741400.0,28997989.618775915,0.0,3498850.34,94759564.95877592
2004,51662479.31506849,10741400.0,29238220.743289363,0.0,3167923.486,94810023.54435785
2005,51521325.0,10741400.0,27557977.73292128,0.0,3069416.878,92890119.6109213
2006,51521325.0,10741400.0,29356584.27282291,0.0,3035632.4260000004,94654941.69882292
2007,51521325.0,10741400.0,27387777.702722237,0.0,3280912.758,92931415.46072224
2008,51662479.31506849,10741400.0,29516976.787530012,0.0,3238194.464,95159050.5665985
2009,51521325.0,10741400.0,26362768.313145965,0.0,2966813.902,91592307.21514598
2010,51521325.0,10741400.0,35927220.48909698,0.0,3294208.6319999998,101484154.12109697
2011,51521325.0,10741400.0,28630887.59247649,0.0,3256233.8260000004,94149846.41847649
2012,51662479.31506849,10741400.0,26285970.684368387,0.0,2874347.9340000004,91564197.93343687
2013,51521325.0,10741400.0,25635361.250693887,0.0,3364025.2460000003,91262111.4966939
2014,51521325.0,10741400.0,27058604.60850046,0.0,3206363.644,92527693.25250046
2015,51521325.0,10741400.0,38095926.53406035,0.0,2808725.534,103167377.06806035
2016,51662479.31506849,10741400.0,35226406.466223314,0.0,3339537.44,100969823.22129181
2017,51521325.0,10741400.0,27898704.59994999,0.0,3391011.208,93552440.80794998
2018,51521325.0,10741400.0,23736013.92662546,0.0,2906557.6980000003,88905296.62462546
