id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A7,OSS,A7,turbine,-41.70560556,-74.67750502,0,0,0,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12822.7,1677.22,12822.7,1677.22,0,0
B7,OSS,B7,turbine,-41.66269051,-74.67031126,0,1,0,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13404.7,3276.2,13404.7,3276.2,0,0
C7,OSS,C7,turbine,-41.61981624,-74.66310956,0,2,0,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13986.7,4875.18,13986.7,4875.18,0,0
D7,OSS,D7,turbine,-41.57698273,-74.65589992,0,3,0,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11388.4,2199.28,11388.4,2199.28,0,0
E7,OSS,E7,turbine,-41.53418997,-74.64868235,0,4,0,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11970.4,3798.26,11970.4,3798.26,0,0
F7,OSS,F7,turbine,-41.49143795,-74.64145688,0,5,0,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12552.3,5397.24,12552.3,5397.24,0,0
G7,OSS,G7,turbine,-41.44872665,-74.63422351,0,6,0,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13134.3,6996.22,13134.3,6996.22,0,0
A6,OSS,A6,turbine,-41.67838989,-74.68885434,1,0,1,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13716.3,8595.2,13716.3,8595.2,0,0
B6,OSS,B6,turbine,-41.63545724,-74.681655,1,1,1,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14298.3,10194.2,14298.3,10194.2,0,0
C6,OSS,C6,turbine,-41.59256545,-74.67444772,1,2,1,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9954.03,2721.34,9954.03,2721.34,0,0
D6,OSS,D6,turbine,-41.54971449,-74.66723249,1,3,1,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10536,4320.32,10536,4320.32,0,0
E6,OSS,E6,turbine,-41.50690436,-74.66000934,1,4,1,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11118,5919.3,11118,5919.3,0,0
F6,OSS,F6,turbine,-41.46413505,-74.65277828,1,5,1,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11700,7518.28,11700,7518.28,0,0
G6,OSS,G6,turbine,-41.42140653,-74.64553932,1,6,1,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12282,9117.26,12282,9117.26,0,0
A5,OSS,A5,turbine,-41.65113336,-74.70020011,2,0,2,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12863.9,10716.2,12863.9,10716.2,0,0
B5,OSS,B5,turbine,-41.60818312,-74.69299518,2,1,2,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13445.9,12315.2,13445.9,12315.2,0,0
C5,OSS,C5,turbine,-41.56527381,-74.6857823,2,2,2,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14027.9,13914.2,14027.9,13914.2,0,0
D5,OSS,D5,turbine,-41.52240543,-74.67856149,2,3,2,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7937.71,1644.42,7937.71,1644.42,0,0
E5,OSS,E5,turbine,-41.47957794,-74.67133275,2,4,2,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8519.69,3243.4,8519.69,3243.4,0,0
F5,OSS,F5,turbine,-41.43679134,-74.66409609,2,5,2,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9101.67,4842.38,9101.67,4842.38,0,0
G5,OSS,G5,turbine,-41.39404563,-74.65685154,2,6,2,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9683.65,6441.36,9683.65,6441.36,0,0
A4,OSS,A4,turbine,-41.62383588,-74.71154231,3,0,3,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10265.6,8040.34,10265.6,8040.34,0,0
B4,OSS,B4,turbine,-41.58086807,-74.70433179,3,1,3,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10847.6,9639.32,10847.6,9639.32,0,0
