id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
B6,OSS,B6,turbine,40.9653979,-124.6177122,0,0,0,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14298.3,10194.2,14298.3,10194.2,3.842559071,0
B5,OSS,B5,turbine,40.98449682,-124.6278421,0,1,0,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13445.9,12315.2,13445.9,12315.2,2.395653756,0
C5,OSS,C5,turbine,40.99889525,-124.6209276,0,2,0,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14027.9,13914.2,14027.9,13914.2,1.810972436,0
E4,OSS,E4,turbine,41.00359657,-124.6379766,0,3,0,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12593.6,14436.3,12593.6,14436.3,1.631242094,0
A6,OSS,A6,turbine,40.95099939,-124.6246238,1,0,1,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13716.3,8595.2,13716.3,8595.2,2.395672279,0
A5,OSS,A5,turbine,40.97009835,-124.6347535,1,1,1,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12863.9,10716.2,12863.9,10716.2,2.395720639,0
D4,OSS,D4,turbine,40.98919815,-124.6448878,1,2,1,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12011.6,12837.3,12011.6,12837.3,2.395859389,0
F3,OSS,F3,turbine,40.99389858,-124.6619371,1,3,1,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10577.2,13359.3,10577.2,13359.3,1.631429498,0
F2,OSS,F2,turbine,40.9985999,-124.6789879,1,4,1,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9142.88,13881.4,9142.88,13881.4,1.63148586,0
a,OSS,a,turbine,41.00330122,-124.6960414,1,5,1,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7708.54,14403.5,7708.54,14403.5,1.63160282,0
C4,OSS,C4,turbine,40.97479969,-124.651796,2,0,2,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11429.6,11238.3,11429.6,11238.3,5.814586061,0
E3,OSS,E3,turbine,40.97950103,-124.6688415,2,1,2,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9995.25,11760.4,9995.25,11760.4,1.631458056,0
E2,OSS,E2,turbine,40.98420147,-124.6858895,2,2,2,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8560.9,12282.4,8560.9,12282.4,1.631525049,0
G1,OSS,G1,turbine,40.9889028,-124.7029398,2,3,2,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7126.55,12804.5,7126.55,12804.5,1.631644525,0
i2,OSS,i2,turbine,40.99360323,-124.7199925,2,4,2,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5692.21,13326.5,5692.21,13326.5,1.631703567,0
s6,OSS,s6,turbine,40.99830455,-124.7370476,2,5,2,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4257.86,13848.6,4257.86,13848.6,1.631830854,0
q5,OSS,q5,turbine,41.00300587,-124.7541053,2,6,2,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2823.51,14370.7,2823.51,14370.7,1.631939913,0
G6,OSS,G6,turbine,40.95570039,-124.6416607,3,0,3,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12282,9117.26,12282,9117.26,3.602006233,0
B4,OSS,B4,turbine,40.96040138,-124.6587012,3,1,3,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10847.6,9639.32,10847.6,9639.32,1.631439419,0
D3,OSS,D3,turbine,40.96510255,-124.6757433,3,2,3,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9413.27,10161.4,9413.27,10161.4,1.63147675,0
D2,OSS,D2,turbine,40.969803,-124.692788,3,3,3,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7978.92,10683.4,7978.92,10683.4,1.631558589,0
F1,OSS,F1,turbine,40.97450434,-124.7098351,3,4,3,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6544.57,11205.5,6544.57,11205.5,1.631686037,0
s1,OSS,s1,turbine,40.97920568,-124.7268845,3,5,3,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5110.23,11727.6,5110.23,11727.6,1.631771602,0
y4,OSS,y4,turbine,40.98390612,-124.7439365,3,6,3,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3675.88,12249.6,3675.88,12249.6,1.631846469,0
p4,OSS,p4,turbine,40.98860745,-124.7609909,3,7,3,7,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2241.53,12771.7,2241.53,12771.7,1.631973804,0
G7,OSS,G7,turbine,40.93660101,-124.6315324,4,0,4,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13134.3,6996.22,13134.3,6996.22,1.631285572,0
F6,OSS,F6,turbine,40.94130202,-124.6485661,4,1,4,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11700,7518.28,11700,7518.28,1.631292504,0
A4,OSS,A4,turbine,40.94600303,-124.6656034,4,2,4,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10265.6,8040.34,10265.6,8040.34,1.631480864,0
C3,OSS,C3,turbine,40.95070403,-124.6826421,4,3,4,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8831.28,8562.4,8831.28,8562.4,1.631495243,0
C2,OSS,C2,turbine,40.95540503,-124.6996835,4,4,4,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7396.94,9084.46,7396.94,9084.46,1.631612526,0
E1,OSS,E1,turbine,40.96010603,-124.7167274,4,5,4,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5962.59,9606.52,5962.59,9606.52,1.631713995,0
g,OSS,g,turbine,40.9648072,-124.7337737,4,6,4,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4528.24,10128.6,4528.24,10128.6,1.631814023,0
w3,OSS,w3,turbine,40.96950764,-124.7508224,4,7,4,7,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3093.9,10650.6,3093.9,10650.6,1.631879695,0
r2,OSS,r2,turbine,40.97420899,-124.7678735,4,8,4,8,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1659.55,11172.7,1659.55,11172.7,1.63200788,0
F7,OSS,F7,turbine,40.9222026,-124.6384381,5,0,5,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12552.3,5397.24,12552.3,5397.24,2.389950973,0
E6,OSS,E6,turbine,40.92690363,-124.6554685,5,1,5,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11118,5919.3,11118,5919.3,1.631325755,0
G5,OSS,G5,turbine,40.93160464,-124.672502,5,2,5,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9683.65,6441.36,9683.65,6441.36,1.631474005,0
B3,OSS,B3,turbine,40.93630566,-124.6895379,5,3,5,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8249.3,6963.42,8249.3,6963.42,1.631568125,0
B2,OSS,B2,turbine,40.94100667,-124.706576,5,4,5,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6814.96,7485.48,6814.96,7485.48,1.631645667,0
D1,OSS,D1,turbine,40.94570768,-124.7236167,5,5,5,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5380.61,8007.54,5380.61,8007.54,1.631755115,0
f,OSS,f,turbine,40.95040868,-124.7406598,5,6,5,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3946.26,8529.6,3946.26,8529.6,1.631848366,0
z2,OSS,z2,turbine,40.95510968,-124.7577052,5,7,5,7,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2511.92,9051.66,2511.92,9051.66,1.631934075,0
C7,OSS,C7,turbine,40.91750158,-124.6214088,6,0,6,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13986.7,4875.18,13986.7,4875.18,1.811009024,0
E7,OSS,E7,turbine,40.90780416,-124.6453395,6,1,6,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11970.4,3798.26,11970.4,3798.26,2.389790136,0
D6,OSS,D6,turbine,40.91250519,-124.6623679,6,2,6,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10536,4320.32,10536,4320.32,1.631460657,0
F5,OSS,F5,turbine,40.91720622,-124.679398,6,3,6,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9101.67,4842.38,9101.67,4842.38,1.631499266,0
