datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-04-07 12:08:14.489390|1999-01-01 00:00:00|0|B6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|B6|B6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.516789|1999-01-01 00:00:00|0|B5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|B5|B5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.543028|1999-01-01 00:00:00|0|C5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|C5|C5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.568533|1999-01-01 00:00:00|0|E4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|E4|E4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.595060|1999-01-01 00:00:00|0|A6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|A6|A6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.629454|1999-01-01 00:00:00|0|A5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|A5|A5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.655672|1999-01-01 00:00:00|0|D4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|D4|D4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.690603|1999-01-01 00:00:00|0|F3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|F3|F3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.719867|1999-01-01 00:00:00|0|F2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|F2|F2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-04-07 12:08:14.745505|1999-01-01 00:00:00|0|a|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|a|a|||1.0|1|0|0|na|na|0|0|0|0|0|0
