datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-06-09 20:46:38.830127|1979-01-01 00:00:00|0|1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|1|1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:38.886140|1979-01-01 00:00:00|0|3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|3|3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:38.939777|1979-01-01 00:00:00|0|5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|5|5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:38.980477|1979-01-01 00:00:00|0|14|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|14|14|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.020928|1979-01-01 00:00:00|0|27|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|27|27|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.065255|1979-01-01 00:00:00|0|33|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|33|33|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.118022|1979-01-01 00:00:00|0|39|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|39|39|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.179255|1979-01-01 00:00:00|0|2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|2|2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.228617|1979-01-01 00:00:00|0|4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|4|4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.276654|1979-01-01 00:00:00|0|13|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|13|13|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.318746|1979-01-01 00:00:00|0|26|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|26|26|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.378296|1979-01-01 00:00:00|0|32|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|32|32|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.419655|1979-01-01 00:00:00|0|38|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|38|38|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.473385|1979-01-01 00:00:00|0|10|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|10|10|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.523802|1979-01-01 00:00:00|0|9|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|9|9|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.613816|1979-01-01 00:00:00|0|48|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|48|48|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.651620|1979-01-01 00:00:00|0|49|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|49|49|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.709674|1979-01-01 00:00:00|0|50|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|50|50|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.766490|1979-01-01 00:00:00|0|51|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|51|51|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.815605|1979-01-01 00:00:00|0|52|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|52|52|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.862324|1979-01-01 00:00:00|0|11|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|11|11|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.913961|1979-01-01 00:00:00|0|12|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|12|12|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:39.960151|1979-01-01 00:00:00|0|25|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|25|25|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.016404|1979-01-01 00:00:00|0|31|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|31|31|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.070870|1979-01-01 00:00:00|0|37|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|37|37|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.111759|1979-01-01 00:00:00|0|53|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|53|53|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.155901|1979-01-01 00:00:00|0|54|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|54|54|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.203657|1979-01-01 00:00:00|0|55|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|55|55|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.250488|1979-01-01 00:00:00|0|7|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|7|7|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.307036|1979-01-01 00:00:00|0|8|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|8|8|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.367893|1979-01-01 00:00:00|0|47|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|47|47|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.412653|1979-01-01 00:00:00|0|46|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|46|46|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.465899|1979-01-01 00:00:00|0|45|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|45|45|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.513805|1979-01-01 00:00:00|0|44|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|44|44|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.570560|1979-01-01 00:00:00|0|6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|6|6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.628431|1979-01-01 00:00:00|0|22|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|22|22|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.687590|1979-01-01 00:00:00|0|28|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|28|28|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.736398|1979-01-01 00:00:00|0|34|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|34|34|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.772391|1979-01-01 00:00:00|0|40|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|40|40|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.812634|1979-01-01 00:00:00|0|43|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|43|43|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.848801|1979-01-01 00:00:00|0|42|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|42|42|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.886020|1979-01-01 00:00:00|0|56|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|56|56|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.922685|1979-01-01 00:00:00|0|20|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|20|20|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.960150|1979-01-01 00:00:00|0|67|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|67|67|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:40.998011|1979-01-01 00:00:00|0|21|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|21|21|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:41.036015|1979-01-01 00:00:00|0|23|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|23|23|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:41.073427|1979-01-01 00:00:00|0|29|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|29|29|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:41.111629|1979-01-01 00:00:00|0|35|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|35|35|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:41.148847|1979-01-01 00:00:00|0|41|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|41|41|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:46:41.187314|1979-01-01 00:00:00|0|19|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|19|19|||1.0|1|0|0|na|na|0|0|0|0|0|0
